U.S. No 2 Diesel Retail Sales by Refiners Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.EMA_EPD2D_PTG_NUS_DPG.M
15:26:38 GMT-0400 (Eastern Daylight Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.EMA_EPD2D_PTG_NUS_DPG.M Dollars per Gallon
Feb 1993,0.606
Jan 1993,0.59
Dec 1992,0.608
Nov 1992,0.645
Oct 1992,0.678
Sep 1992,0.653
Aug 1992,0.634
Jul 1992,0.645
Jun 1992,0.649
May 1992,0.621
Apr 1992,0.592
Mar 1992,0.568
Feb 1992,0.571
Jan 1992,0.555
Dec 1991,0.609
Nov 1991,0.697
Oct 1991,0.68
Sep 1991,0.648
Aug 1991,0.633
Jul 1991,0.595
Jun 1991,0.579
May 1991,0.601
Apr 1991,0.606
Mar 1991,0.618
Feb 1991,0.714
Jan 1991,0.805
Dec 1990,0.859
Nov 1990,0.96
Oct 1990,1.01
Sep 1990,0.884
Aug 1990,0.762
Jul 1990,0.55
Jun 1990,0.54
May 1990,0.584
Apr 1990,0.603
Mar 1990,0.606
Feb 1990,0.619
Jan 1990,0.765
Dec 1989,0.713
Nov 1989,0.645
Oct 1989,0.637
Sep 1989,0.595
Aug 1989,0.537
Jul 1989,0.531
Jun 1989,0.534
May 1989,0.571
Apr 1989,0.61
Mar 1989,0.57
Feb 1989,0.543
Jan 1989,0.535
Dec 1988,0.505
Nov 1988,0.474
Oct 1988,0.454
Sep 1988,0.473
Aug 1988,0.473
Jul 1988,0.472
Jun 1988,0.508
May 1988,0.536
Apr 1988,0.538
Mar 1988,0.513
Feb 1988,0.519
Jan 1988,0.542
Dec 1987,0.573
Nov 1987,0.604
Oct 1987,0.595
Sep 1987,0.57
Aug 1987,0.581
Jul 1987,0.563
Jun 1987,0.543
May 1987,0.533
Apr 1987,0.515
Mar 1987,0.51
Feb 1987,0.517
Jan 1987,0.507
Dec 1986,0.45
Nov 1986,0.432
Oct 1986,0.419
Sep 1986,0.433
Aug 1986,0.405
Jul 1986,0.365
Jun 1986,0.42
May 1986,0.464
Apr 1986,0.485
Mar 1986,0.512
Feb 1986,0.615
Jan 1986,0.781
Dec 1985,0.856
Nov 1985,0.855
Oct 1985,0.816
Sep 1985,0.781
Aug 1985,0.738
Jul 1985,0.745
Jun 1985,0.772
May 1985,0.797
Apr 1985,0.799
Mar 1985,0.77
Feb 1985,0.767
Jan 1985,0.776
Dec 1984,0.794
Nov 1984,0.807
Oct 1984,0.816
Sep 1984,0.802
Aug 1984,0.797
Jul 1984,0.813
Jun 1984,0.84
May 1984,0.832
Apr 1984,0.824
Mar 1984,0.832
Feb 1984,0.874
Jan 1984,0.844
Dec 1983,0.822
Nov 1983,0.835
Oct 1983,0.842
Sep 1983,0.848
Aug 1983,0.83
Jul 1983,0.82
Jun 1983,0.815
May 1983,0.818
Apr 1983,0.788
Mar 1983,0.78
Feb 1983,0.84
Jan 1983,0.892 
